eName,semimajorAxis,eccentricity,meanRadius,mass_kg,orbit_type
Charon,1.753600000E+04,0,33,2.40E+16,1
Nix,4.870800000E+04,0,33,2.40E+16,1
Hydra,6.474900000E+04,0,33,2.40E+16,1
Namaka,3.930000000E+04,0,33,2.40E+16,1
Hiʻiaka,4.950000000E+04,0,33,2.40E+16,1
Dysnomia,3.000000000E+04,0,33,2.40E+16,1
Dia,1.255500000E+07,211,2,9.00E+13,1
S/2004 S 3,1.410000000E+05,0.02,2,2.40E+16,1
S/2004 S 4,1.401000000E+05,0,2,2.40E+16,1
S/2004 S 6,1.400000000E+05,2,2.5,2.40E+16,1
S/2010 J 1,2.331433500E+07,0.32,1,2.40E+16,1
S/2010 J 2,2.032000000E+07,307,0.5,2.40E+16,1
1 Ceres,4.136902500E+08,0.07582,476.2,9.39E+20,0
6 Hebe,3.629590000E+08,0,33,2.40E+16,0
47171 Lempo,5.884000000E+09,0,33,2.40E+16,0
The Little Prince,1.190000000E+03,0,33,2.40E+16,1
762 Pulcova,4.725796730E+08,0,33,2.40E+16,0
4179 Toutatis,3.773260000E+08,0,33,2.40E+16,0
50000 Quaoar,6.489054000E+09,0,33,2.40E+16,0
2867 Šteins,3.534950000E+08,0,33,2.40E+16,0
136199 Eris,1.018012285E+10,0.44068,1163,1.66E+22,0
5 Astraea,3.848770000E+08,0,33,2.40E+16,0
5145 Pholus,3.055227000E+09,0,33,2.40E+16,0
4769 Castalia,1.590530000E+08,0,33,2.40E+16,0
Remus,7.060000000E+02,0,33,2.40E+16,1
624 Hektor,7.811830000E+08,0,33,2.40E+16,0
216 Kleopatra,4.177960000E+08,0,33,2.40E+16,0
3753 Cruithne,1.492600000E+08,0,33,2.40E+16,0
3 Junon,3.994800000E+08,0,33,2.40E+16,0
10 Hygiea,4.693450000E+08,0,33,2.40E+16,0
21 Lutetia,3.642770000E+08,0,33,2.40E+16,0
253 Mathilde,3.959000000E+08,0,33,2.40E+16,0
Uranus,2.870658186E+09,0.0457,25362,8.68E+25,0
7 Iris,3.570190000E+08,0,33,2.40E+16,0
433 Eros,2.181550000E+08,0,33,2.40E+16,0
Vanth,8.980000000E+03,0,33,2.40E+16,1
90377 Sedna,7.565977000E+10,0,33,2.40E+16,0
10199 Chariklo,2.380000000E+09,0,33,2.40E+16,0
87 Sylvia,5.221350000E+08,0,33,2.40E+16,0
(243) Ida I Dactyl,1.080000000E+02,0,33,2.40E+16,1
90482 Orcus,5.862440000E+09,0,33,2.40E+16,0
Pluto,5.906440628E+09,0.2488,1188.3,1.30E+22,0
5335 Damocles,8.368303000E+09,0,33,2.40E+16,0
Romulus,1.356000000E+03,0,33,2.40E+16,1
Alexhelios,7.750000000E+02,0,33,2.40E+16,1
Cleoselene,3.800000000E+02,0,33,2.40E+16,1
8 Flora,3.293130000E+08,0,33,2.40E+16,0
2060 Chiron,2.042652000E+09,0,33,2.40E+16,0
5261 Eureka,2.279080000E+08,0,33,2.40E+16,0
588 Achilles,7.766690000E+08,0,33,2.40E+16,0
Weywot,1.000000000E+04,0,33,2.40E+16,1
28978 Ixion,5.910896000E+09,0,33,2.40E+16,0
Neptune,4.498396441E+09,0.0113,24622,1.02E+26,0
Shoemaker-Levy 9,0.000000000E+00,0,33,2.40E+16,0
9 Metis,3.570520000E+08,0,33,2.40E+16,0
136108 Haumea,6.432011461E+09,0.19126,33,4.01E+21,0
7066 Nessus,3.689000000E+09,0,33,2.40E+16,0
25143 Itokawa,1.980496280E+08,0,33,2.40E+16,0
10370 Hylonome,3.779000000E+09,0,33,2.40E+16,0
45 Eugenia,4.069340000E+08,0,33,2.40E+16,0
(308933) 2006 SQ372,1.520000000E+11,0,33,2.40E+16,0
2 Pallas,4.147170000E+08,0,33,2.40E+16,0
8405 Asbolus,2.694000000E+09,0,33,2.40E+16,0
20000 Varuna,6.451398000E+09,0,33,2.40E+16,0
4 Vesta,3.533430000E+08,0,33,2.40E+16,0
243 Ida,4.280000000E+08,0,33,2.40E+16,0
Comet Hyakutake,0.000000000E+00,0,33,2.40E+16,0
951 Gaspra,3.305130000E+08,0,33,2.40E+16,0
15760 Albion,6.547379000E+09,0,33,2.40E+16,0
136472 Makemake,6.783345606E+09,0.15586,725,4.40E+21,0
Halley's Comet,2.677801885E+09,0,33,2.40E+16,0
Jupiter,7.783408210E+08,0.0489,69911,1.90E+27,0
Mars,2.279438240E+08,0.0935,3389.5,6.42E+23,0
Mercury,5.790922700E+07,0.2056,2439.4,3.30E+23,0
Saturn,1.426666422E+09,0.0565,58232,5.68E+26,0
Sun,0.000000000E+00,0,696342,1.99E+30,0
Earth,1.495982620E+08,0.0167,6371.0084,5.97E+24,0
Venus,1.082084750E+08,0.0067,6051.8,4.87E+24,0
Kerberos,5.900000000E+04,0,33,2.40E+16,1
S/2011 J 1,2.015529000E+07,296,0.5,2.40E+16,1
S/2011 J 2,2.332971000E+07,332,0.5,2.40E+16,1
Styx,4.500000000E+04,0,33,2.40E+16,1
Hippocamp,1.052000000E+05,0,17,3.00E+16,1
S/2015 (136472) 1,2.110000000E+04,0,33,2.40E+16,1
S/2017 J 1,2.358700000E+07,397,2,2.40E+16,1
S/2016 J 1,2.065100000E+07,141,0.5,2.40E+16,1
Valetudo,1.898000000E+07,222,0.5,2.40E+16,1
S/2017 J 2,2.330300000E+07,236,1,2.40E+16,1
S/2017 J 3,2.069400000E+07,148,1,2.40E+16,1
Pandia,1.152500000E+07,0.18,1.5,2.40E+16,1
S/2017 J 5,2.323200000E+07,284,1,2.40E+16,1
S/2017 J 6,2.245500000E+07,557,1,2.40E+16,1
S/2017 J 7,2.062700000E+07,215,1,2.40E+16,1
S/2017 J 8,2.323300000E+07,312,0.5,2.40E+16,1
S/2017 J 9,2.148700000E+07,229,1.5,2.40E+16,1
Ersa,1.148300000E+07,94,1.5,2.40E+16,1
Ultima Thule,6.633400000E+09,0,33,2.40E+16,0
101955 Bennu,1.684000000E+08,0,33,2.40E+16,0
